MIASTO;Region;KOD POCZTOWY;NR_KIER;ULICA;PARZYSTE_OD;PARZYSTE_DO;NIEPARZYSTE_OD;NIEPARZYSTE_DO;POD;NOD
KOSZALIN;ZACHODNIOPOMORSKIE;75-503;094;BUCZKA MARIANA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-504;094;OGRODOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-505;094;PI£SUDSKIEGO J”ZEFA;0;0;57;57;     0 ;    57 
KOSZALIN;ZACHODNIOPOMORSKIE;75-506;094;MIRECKIEGO J”ZEFA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-507;094;REJTANA TADEUSZA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-508;094;NOWOTKI MARCELEGO;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-508;094;WA—KOWICZA MELCHIORA;0;0;1;koniec;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-509;094;PI£SUDSKIEGO J”ZEFA;2;2;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-511;094;PI£SUDSKIEGO J”ZEFA;4;32;0;0;     4 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-512;094;PI£SUDSKIEGO J”ZEFA;34;54;0;0;    34 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-519;094;SAWICKIEJ HANKI;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-520;094;PI£SUDSKIEGO J”ZEFA;0;0;59;65;     0 ;    59 
KOSZALIN;ZACHODNIOPOMORSKIE;75-521;094;PI£SUDSKIEGO J”ZEFA;0;0;67;71;     0 ;    67 
KOSZALIN;ZACHODNIOPOMORSKIE;75-522;094;KRASICKIEGO JANKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-522;094;KRASLCKIEGO JANKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-523;094;PI£SUDSKIEGO J”ZEFA;0;0;73;97;     0 ;    73 
KOSZALIN;ZACHODNIOPOMORSKIE;75-524;094;PI£SUDSKIEGO J”ZEFA;0;0;99;koniec;     0 ;    99 
KOSZALIN;ZACHODNIOPOMORSKIE;75-525;094;PI£SUDSKIEGO J”ZEFA;56;72;0;0;    56 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-526;094;BRONIEWSKIEGO W£ADYS£AWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-527;094;SYGIETY—SKIEGO TADEUSZA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-528;094;WIENIAWSKIEGO HENRYKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-529;094;PI£SUDSKIEGO J”ZEFA;74;90;0;0;    74 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-531;094;PI£SUDSKIEGO J”ZEFA;92;koniec;0;0;    92 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-540;094;MATEJKI JANA;0;0;1;25;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-541;094;WARY—SKIEGO LUDWIKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-542;094;MATEJKI JANA;0;0;27;koniec;     0 ;    27 
KOSZALIN;ZACHODNIOPOMORSKIE;75-543;094;MATEJKI JANA;2;16;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-544;094;MATEJKI JANA;18;koniec;0;0;    18 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-545;094;SZYMANOWSKIEGO KAROLA;0;0;1;11;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-546;094;SZYMANOWSKIEGO KAROLA;2;14;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-547;094;SZYMANOWSKIEGO KAROLA;16;18;0;0;    16 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-548;094;MONIUSZKI STANIS£AWA;0;0;1;7;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-549;094;MONIUSZKI STANIS£AWA;0;0;9;15;     0 ;     9 
KOSZALIN;ZACHODNIOPOMORSKIE;75-551;094;MONIUSZKI STANIS£AWA;0;0;17;25;     0 ;    17 
KOSZALIN;ZACHODNIOPOMORSKIE;75-552;094;ZGODA;0;0;1;11;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-553;094;ZGODA;0;0;13;koniec;     0 ;    13 
KOSZALIN;ZACHODNIOPOMORSKIE;75-554;094;ZGODA;2;14;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-555;094;ZGODA;16;koniec;0;0;    16 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-556;094;MONIUSZKI STANIS£AWA;0;0;27;koniec;     0 ;    27 
KOSZALIN;ZACHODNIOPOMORSKIE;75-557;094;MONIUSZKI STANIS£AWA;2;4;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-558;094;MONIUSZKI STANIS£AWA;6;koniec;0;0;     6 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-560;094;TRAUGUTTA ROMUALDA;0;0;1;9;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-561;094;TRAUGUTTA ROMUALDA;0;0;11;15;     0 ;    11 
KOSZALIN;ZACHODNIOPOMORSKIE;75-562;094;SZYMANOWSKIEGO KAROLA;0;0;33;koniec;     0 ;    33 
KOSZALIN;ZACHODNIOPOMORSKIE;75-563;094;KAR£OWICZA MIECZYS£AWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-564;094;SZYMANOWSKIEGO KAROLA;34;koniec;0;0;    34 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-565;094;TRAUGUTTA ROMUALDA;0;0;17;23;     0 ;    17 
KOSZALIN;ZACHODNIOPOMORSKIE;75-566;094;CHOPINA FRYDERYKA;0;0;27;koniec;     0 ;    27 
KOSZALIN;ZACHODNIOPOMORSKIE;75-567;094;CHOPINA FRYDERYKA;28;koniec;0;0;    28 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-568;094;TRAUGUTTA ROMUALDA;0;0;25;25;     0 ;    25 
KOSZALIN;ZACHODNIOPOMORSKIE;75-569;094;TRAUGUTTA ROMUALDA;0;0;27;koniec;     0 ;    27 
KOSZALIN;ZACHODNIOPOMORSKIE;75-571;094;TRAUGUTTA ROMUALDA;2;4;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-572;094;TRAUGUTTA ROMUALDA;6;8;0;0;     6 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-573;094;SZYMANOWSKIEGO KAROLA;0;0;13;31;     0 ;    13 
KOSZALIN;ZACHODNIOPOMORSKIE;75-574;094;SZYMANOWSKIEGO KAROLA;20;32;0;0;    20 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-575;094;TRAUGUTTA ROMUALDA;10;16;0;0;    10 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-576;094;CHOPINA FRYDERYKA;0;0;1;25;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-577;094;CHOPINA FRYDERYKA;2;26;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-578;094;TRAUGUTTA ROMUALDA;18;20;0;0;    18 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-579;094;TRAUGUTTA ROMUALDA;22;koniec;0;0;    22 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-580;094;JUTRZENKI;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-581;094;CHA£UBI—SKIEGO TYTUSA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-582;094;LEåNA;2;2;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-582;094;LEåNA;4A;4B;0;0;     4A;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-583;094;LEåNA;6;38;0;0;     6 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-584;094;LEåNA;0;0;5;5;     0 ;     5 
KOSZALIN;ZACHODNIOPOMORSKIE;75-584;094;LEåNA;0;0;7;7;     0 ;     7 
KOSZALIN;ZACHODNIOPOMORSKIE;75-585;094;LEåNA;0;0;9;37;     0 ;     9 
KOSZALIN;ZACHODNIOPOMORSKIE;75-586;094;ZORZY;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-587;094;NOWOWIEJSKIEGO FELIKSA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-588;094;OGI—SKIEGO MICHA£A;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-589;094;T CZY;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-590;094;KSI ØYCOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-600;094;ZWYCI STWA;0;0;107;111;     0 ;   107 
KOSZALIN;ZACHODNIOPOMORSKIE;75-601;094;ZWYCI STWA;0;0;113;121;     0 ;   113 
KOSZALIN;ZACHODNIOPOMORSKIE;75-602;094;ZWYCI STWA;0;0;123;127;     0 ;   123 
KOSZALIN;ZACHODNIOPOMORSKIE;75-603;094;ZWYCI STWA;0;0;129;135;     0 ;   129 
KOSZALIN;ZACHODNIOPOMORSKIE;75-604;094;ZWYCI STWA;0;0;137;151;     0 ;   137 
KOSZALIN;ZACHODNIOPOMORSKIE;75-605;094;ZWYCI STWA;0;0;153;167;     0 ;   153 
KOSZALIN;ZACHODNIOPOMORSKIE;75-606;094;;;;;;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-607;094;HO£DU PRUSKIEGO;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-608;094;ZWYCI STWA;0;0;169;201;     0 ;   169 
KOSZALIN;ZACHODNIOPOMORSKIE;75-609;094;ZWYCI STWA;0;0;203;225;     0 ;   203 
KOSZALIN;ZACHODNIOPOMORSKIE;75-610;094;PRZERWY TETMAJERA KAZIMIERZA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-610;094;STAFFA LEOPOLDA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-611;094;ZWYCI STWA;170;204;0;0;   170 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-612;094;ZWYCI STWA;156;168;0;0;   156 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-613;094;ZWYCI STWA;134;154;0;0;   134 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-614;094;ZWYCI STWA;124;132;0;0;   124 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-615;094;PL ZWYCI STWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-615;094;ZWYCI STWA PLAC;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-616;094;ZWYCI STWA;116;122;0;0;   116 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-617;094;;;;;;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-620;094;RAC£AWICKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-621;094;ØWIROWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-621;094;PIASKOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-622;094;WOLNOåCI PLAC;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-622;094;PL WOLNOåCI;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-623;094;ANDERSA W£ADYS£AWA;0;0;31;33;     0 ;    31 
KOSZALIN;ZACHODNIOPOMORSKIE;75-623;094;LAMPEGO ALFREDA;0;0;31;33;     0 ;    31 
KOSZALIN;ZACHODNIOPOMORSKIE;75-625;094;ANDERSA W£ADYS£AWA;0;0;35;koniec;     0 ;    35 
KOSZALIN;ZACHODNIOPOMORSKIE;75-625;094;LAMPEGO ALFREDA;0;0;35;koniec;     0 ;    35 
KOSZALIN;ZACHODNIOPOMORSKIE;75-626;094;ANDERSA W£ADYS£AWA;24;koniec;0;0;    24 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-626;094;LAMPEGO ALFREDA;24;koniec;0;0;    24 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-627;094;WYSPIA—SKIEGO STANIS£AWA;0;0;1;15;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-628;094;GROTTGERA ARTURA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-629;094;WYSPIA—SKIEGO STANIS£AWA;0;0;17;koniec;     0 ;    17 
KOSZALIN;ZACHODNIOPOMORSKIE;75-630;094;BZ”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-631;094;CHE£MO—SKIEGO J”ZEFA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-632;094;WYSPIA—SKIEGO STANIS£AWA;2;12;0;0;     2 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-633;094;WYSPIA—SKIEGO STANIS£AWA;14;koniec;0;0;    14 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-634;094;CZEREMCHOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-635;094;WIERZBOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-636;094;PLATANOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-637;094;ORZECHOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-638;094;HEBANOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-639;094;MAHONIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-640;094;;;;;;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-641;094;ZWYCI STWA;0;0;287;297;     0 ;   287 
KOSZALIN;ZACHODNIOPOMORSKIE;75-642;094;S£ONECZNA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-642;094;WESTERPLATTE;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-643;094;SIANOWSKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;WIåNIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;JOD£OWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;KLONOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;LESZCZYNOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;MODRZEWIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;PANCERNIAK”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;WI•ZOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;GRABOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;åWIERKOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;JAåMINOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-644;094;CISOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-645;094;PARKOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-646;094;ARTYLERZYST”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-647;094;SANATORYJNA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-648;094;LEåNA;0;0;1;3;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-648;094;LEåNA;0;0;5A;5A;     0 ;     5A
KOSZALIN;ZACHODNIOPOMORSKIE;75-649;094;LEåNA;4;4;0;0;     4 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-650;094;CZARNIECKIEGO STEFANA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-651;094;LEåNA;0;0;39;koniec;     0 ;    39 
KOSZALIN;ZACHODNIOPOMORSKIE;75-652;094;LEåNA;40;koniec;0;0;    40 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-653;094;ZWYCI STWA;0;0;255;285;     0 ;   255 
KOSZALIN;ZACHODNIOPOMORSKIE;75-654;094;RUSZCZYCA FERDYNANDA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-655;094;ZWYCI STWA;0;0;241;253;     0 ;   241 
KOSZALIN;ZACHODNIOPOMORSKIE;75-656;094;NORWIDA CYPRIANA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-657;094;ZWYCI STWA;0;0;235;239;     0 ;   235 
KOSZALIN;ZACHODNIOPOMORSKIE;75-658;094;KOCHANOWSKIEGO JANA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-659;094;ZWYCI STWA;0;0;227;233;     0 ;   227 
KOSZALIN;ZACHODNIOPOMORSKIE;75-660;094;BATOREGO STEFANA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-661;094;REJA MIKO£AJA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-661;094;ZWYCI STWA;206;208;0;0;   206 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-662;094;BEMA J”ZEFA GEN;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-662;094;GEN BEMA J”ZEFA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-663;094;ZWYCI STWA;210;226;0;0;   210 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-663;094;ZAMENHOFA LUDWIKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-664;094;ZIELONA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-665;094;ZWYCI STWA;228;248;0;0;   228 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-665;094;MORELOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-666;094;LIPOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-667;094;KALINOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;åWIATOWIDA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;SERWACEGO;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;ZWYCI STWA;250;262;0;0;   250 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;PRZYBYS£AWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;PANKRACEGO;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;MåCIS£AWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;MACIEJA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;LUBIATOWSKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;BONIFACEGO;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-668;094;BART£OMIEJA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;JEZIORNA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;JAGODOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;BOR”WKOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;G£OGOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;DZIERØ CI—SKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;JEØYNOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;ØARNOWIECKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;WIKLINOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;TOPOLOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;TATARAK”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;MALINOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-669;094;£•KOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-670;094;CHODKIEWICZA KAROLA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;KRAWIECKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;ZWYCI STWA;264;koniec;0;0;   264 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;ZIEMOWITA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;åWI TOPE£KA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;MåCIWOJA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;KUPIECKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-671;094;BOØYDARA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-672;094;ZWYCI STWA;0;0;299;koniec;     0 ;   299 
KOSZALIN;ZACHODNIOPOMORSKIE;75-673;094;GEN SOWI—SKIEGO J”ZEFA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-673;094;SOWI—SKIEGO J”ZEFA GEN;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-674;094;SADOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-675;094;GERBEROWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-676;094;ZALESIE;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-676;094;BRZOSKWINIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-677;094;CZEREåNIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-677;094;POLNYCH KWIAT”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-678;094;TULIPAN”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-679;094;JAB£ONIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-680;094;BOTANICZNA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-681;094;JAWOROWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-682;094;JARZ BINOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-683;094;SOSNOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-684;094;AKACJOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-685;094;D BOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-685;094;KASZTANOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-686;094;JESIONOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-687;094;SYN”W PU£KU;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-688;094;WOPIST”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-689;094;HUBALCZYK”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-690;094;LOTNIK”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-691;094;WALECZNYCH;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-692;094;DYWIZJI DREZDE—SKIEJ;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-693;094;PRZYJAèNI;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-694;094;WRZEåNIOWA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-695;094;PODCHOR•ØYCH;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-696;094;OBRO—C”W HELU;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-697;094;CZWARTAK”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-698;094;KADET”W;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-699;094;U£A—SKA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-700;094;WOJSKA POLSKIEGO;0;0;1;9;     0 ;     1 
KOSZALIN;ZACHODNIOPOMORSKIE;75-701;094;WOJSKA POLSKIEGO;0;0;11;29;     0 ;    11 
KOSZALIN;ZACHODNIOPOMORSKIE;75-702;094;WOJSKA POLSKIEGO;0;0;31;37;     0 ;    31 
KOSZALIN;ZACHODNIOPOMORSKIE;75-703;094;ØEROMSKIEGO STEFANA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-704;094;STRUGA ANDRZEJA;0;0;0;0;     0 ;     0 
KOSZALIN;ZACHODNIOPOMORSKIE;75-705;094;WOJSKA POLSKIEGO;0;0;39;45;     0 ;    39 
KOSZALIN;ZACHODNIOPOMORSKIE;75-706;094;REYMONTA W£ADYS£AWA;0;0;0;0;     0 ;     0 
